ID_sportsman,Name,Sex,Sport
1745,Mohammad Aktar,M,Wrestling
4628,Mohammad Daoud Anwary,M,Wrestling
5285,Mohammad Arref,M,Wrestling
6261,Mohammad Aynutdin,M,Wrestling
6280,Kayum Ayub,M,Wrestling
6336,Masoud Azizi,M,Athletics
6819,Nesar Ahmad Bahawi,M,Taekwondo
7050,Mohammad Tawfiq Bakhshi,M,Judo
24785,Ali Dad,M,Wrestling
25470,Aka-Jahan Dastagir,M,Wrestling
25471,Ghulam Dastagir,M,Wrestling
28855,Ahmad Djan,M,Wrestling
28856,Djan-Aka Djan,M,Wrestling
29626,Sultan Mohammad Dost,M,Wrestling
31285,Mohammad Ebrahimi,M,Wrestling
33807,Ajmal Faisal,M,Boxing
33817,Ajmal Faizzada,M,Judo
39920,Abdul Ghafoor,M,Athletics
39922,Abdul Ghafar Ghafoori,M,Athletics
40057,Rabani Ghulam,M,Boxing
43901,Ghulam Mohiddin Gunga,M,Wrestling
44977,Mohammad Halilula,M,Wrestling
45259,Sakhidad Hamidi,M,Wrestling
58364,Mohammad Ibrahim Kederi,M,Wrestling
59043,Faiz Mohammad Khakshar,M,Wrestling
59102,Amir Jan Khalunder,M,Wrestling
59216,Ahmadjan Khasan,M,Wrestling
59346,Mohammad Asif Khokan,M,Wrestling
61961,Tahmina Kohistani,F,Athletics
80210,Alam Mir,M,Wrestling
80938,Esmail Mohammad,M,Boxing
84618,Ahmad Nasir,M,Wrestling
85348,Ahmad Nesar,M,Boxing
86313,Rohullah Nikpai,M,Taekwondo
86829,Nour Ullah Noor,M,Wrestling
98371,Bashir Ahmad Rahmati,M,Wrestling
99303,Friba Razayee,F,Judo
99310,Mohammad Razigul,M,Wrestling
105119,Ghulam Sanay,M,Wrestling
106372,Habib Zareef Sayed,M,Athletics
106376,Nour Aka Sayed,M,Wrestling
109153,Shakar Khan Shakar,M,Wrestling
109486,Abdul Hadi Shekaib,M,Athletics
109865,Mohammad Shir,M,Wrestling
110054,Ibrahim Shudzandin,M,Wrestling
110180,Ghulam Sideer,M,Wrestling
116125,Nizam-ud-din Subhani,M,Wrestling
